search_id;type of propery;Postcode;Link;Available as of;Available date;Neighbourhood or locality;Construction year;Floor;Number of floors;Building condition;Number of frontages;Surroundings type;Living area;Living room surface;Kitchen type;Kitchen surface;Bedrooms;Bedroom 1 surface;Bathrooms;Toilets;Furnished;Terrace surface;Elevator;Accessible for disabled people;Visio phone;Swimming pool;Primary energy consumption;Energy class;;Reference number of the EPC report;CO₂ emission;Yearly theoretical total energy consumption;As built plan;Heating type;Thermic solar panels;Double glazing;Planning permission obtained;Subdivision permit;Possible priority purchase right;Flood zone type;Latest land use designation;Price;Cadastral income;Tenement building;Address;Website;External reference;Covered parking spaces;Outdoor parking spaces;Bedroom 2 surface;Bedroom 3 surface;Office surface;Office;Dining room;Basement;Armored door;Caretaker;Monthly charges;Street frontage width;Shower rooms;Intercom;Total ground floor buildable;Extra information;Agent's name;Living room;Dressing room;Laundry room;Professional space;Surface of the plot;Gas, water & electricity;Terrace;Secure access / alarm;Photovoltaic solar panels;Property name;Terrace orientation;Air conditioning;Common water heater;TV cable;Connection to sewer network;Jacuzzi;Sauna;E-level (overall energy performance);Heat pump;Proceedings for breach of planning regulations;Garden;Garden orientation;Width of the lot on the street;Virtual visit;Bedroom 4 surface;Attic;Garden surface;How many fireplaces?;Professional space surface;Basement surface;Attic surface;Obligation to build;Bedroom 5 surface;Land is facing street;Wooded land;Plot at rear;Flat land;Internet;Conformity certification for fuel tanks;Type of building;Lump sum;Monthly annuity;Indexed annuity;Reversionary annuity;Bare ownership sale;Number of annuitants;Age of annuitant;Maximum duration of annuity
9944777;House;9500;https://www.immoweb.be/en/classified/house/for-sale/overboelare/9500/9944777;Rue Grande 92;May 31 2022 - 12:00 AM;Cambre;;2022;1;After signing the deed;Good;As new;3;5;95;35;Installed;8;14;14;1;Yes;Yes;2;Yes;No;North;30;340;D;20220526-0002611765-RES-1;Not specified;Not specified;No;No;Fuel oil;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Geraardsbergenstraat 13A;10 m;4;2;10;7;Yes;Yes;1;No;Yes;;1969;1;Yes;No;No;Aurore Orbant;93;8;1;Yes;Yes;No;Yes;No;No;At delivery;11;Yes;No;No;Yes;No;Yes;90253 kWh/year;Gas;No;2020;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;
9944776;Mixed-use building;9500;https://www.immoweb.be/en/classified/mixed-use-building/for-sale/overboelare/9500/9944776;;May 31 2022 - 12:00 AM;Cambre;1621 - DS22/031;2022;1;After signing the deed;Good;As new;3;5;95;35;Installed;8;14;14;1;Yes;Yes;2;Yes;No;North;30;340;D;20220526-0002611765-RES-1;Not specified;Not specified;No;No;Fuel oil;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;Yes;;Geraardsbergenstraat 13A;10 m;4;2;10;7;Yes;Yes;1;No;Yes;;1969;1;Yes;No;No;Aurore Orbant;93;8;1;Yes;Yes;No;Yes;No;No;At delivery;11;Yes;No;No;Yes;No;Yes;90253 kWh/year;Gas;No;2020;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;
9944775;House;2840;https://www.immoweb.be/en/classified/house/for-sale/rumst/2840/9944775;;May 31 2022 - 12:00 AM;Cambre;1620 - DS22/031;2022;1;After signing the deed;1951;As new;6 m;5;2;35;156;8;Installed;4;Yes;Yes;Yes;2;Yes;No;North West;Yes;235;C;2022052700026111791-RES1;1000 kg CO₂/m²;Not specified;78;No;Gas;Yes;Yes;Yes;No;Non flood zone;Non flood zone;;;No;;;10 m;4;2;10;7;2;Yes;3;No;Yes;;After signing the deed;1;Yes;No;No;Aurore Orbant;93;8;1;Yes;Yes;198;Yes;No;No;At delivery;11;Yes;No;No;Yes;No;Yes;No;Gas;No;;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;
9944774;Bungalow;9500;https://www.immoweb.be/en/classified/bungalow/for-sale/overboelare/9500/9944774;Lusthovenlaan 39;May 31 2022 - 12:00 AM;Cambre;118 - 93363902;2022;1;After signing the deed;Good;As new;3;5;95;35;Installed;8;14;14;1;Yes;Yes;2;Yes;No;North;30;340;D;20220526-0002611765-RES-1;Not specified;Not specified;No;No;Fuel oil;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Geraardsbergenstraat 13A;10 m;4;2;10;7;2;Yes;1;No;Yes;;1969;1;Yes;No;No;Aurore Orbant;93;8;1;Yes;Yes;No;Yes;No;No;At delivery;11;Yes;No;No;Yes;No;Yes;No;Gas;No;2020;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;
9944765;Apartment;9120;https://www.immoweb.be/en/classified/apartment/for-sale/beveren-waas/9120/9944765;;May 31 2022 - 12:00 AM;Cambre;118 - 93363902;After signing the deed;1;Parkresidentie Gulden Vlies;3;2;1;Living area (residential, urban or rural);108;35;45;Installed;15;10;1;Yes;Yes;2;South West;No;Yes;Yes;210;C;20220602-0002615895-RES-1;Not specified;Not specified;No;No;Electric;Yes;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;;Geraardsbergenstraat 13A;As new;4;2;10;7;2;Yes;1;No;Yes;;1969;1;Yes;No;No;Walestraat;93;8;1;Yes;Yes;No;1;No;No;1575 - DS22/031;Yes;Yes;No;No;Yes;No;Yes;No;Gas;No;2020;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;
9923703;CARRE COGHEN;1180;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/uccle/1180/9923703?searchId=6298cd78cd665;;;Marcel Vastgoed;118 - 93363902;After signing the deed;1;Parkresidentie Gulden Vlies;3;2;1;Living area (residential, urban or rural);108;35;45;Installed;15;10;1;Yes;Yes;2;South West;No;Bruxelles Sud;36;55;B;B;Not specified;Not specified;No;No;Electric;Yes;Yes;No;Not specified;Non flood zone;Living area (residential, urban or rural);;Non flood zone;No;;Avenue Louis Lepoutre 112;As new;June 1 2022 - 12:00 AM;2;10;7;2;Yes;1;No;Yes;;1969;1;Yes;No;No;Walestraat;93;8;1;Yes;Yes;No;1;No;No;1575 - DS22/031;Yes;Yes;No;No;Yes;No;Yes;No;Gas;No;2020;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;
9941464;House;4020;https://www.immoweb.be/en/classified/house/for-sale/liege/4020/9941464?searchId=6298cd78cd665;;4768655;Marcel Vastgoed;To be defined;After signing the deed;1;March 1 2023 - 12:00 AM;To be done up;2;Living area (residential, urban or rural);;159;37;Semi equipped;17;14;2;Yes;Yes;251;48;South West;Yes;Yes;No;504;F;20220515005453;126 kg CO₂/m²;Not specified;65826 kWh/year;No;Gas;Yes;190;No;No;Non flood zone;Residential park;;;No;;Rue de la Wallonie 2A;9 m;June 1 2022 - 12:00 AM;4;18;7;2;Yes;2;No;Yes;;1919;13;No;Yes;No;Walestraat;93;8;1;Yes;No;;1;No;No;1575 - DS22/031;Yes;Yes;No;No;417;No;Yes;No;Gas;No;2020;Yes;Yes;1;17;Yes;Connected;;;;;;;;;;;;;;;;;;;;;
9281516;Serenity Valley;1160;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/auderghem/1160/9281516?searchId=6298cd78cd665;;4768655;Marcel Vastgoed;To be defined;After signing the deed;1;March 1 2023 - 12:00 AM;To be done up;2;Living area (residential, urban or rural);;159;37;Semi equipped;17;14;2;Yes;Yes;251;48;South West;Yes;At delivery;;Not specified;Not specified;Not specified;Not specified;Not specified;65826 kWh/year;No;Gas;Yes;190;No;No;Non flood zone;Residential park;;Not specified;No;;Rue de la Wallonie 2A;9 m;June 1 2022 - 12:00 AM;4;18;7;2;Yes;2;No;Yes;;1919;13;No;Yes;No;Walestraat;93;8;1;Yes;No;;1;No;No;1575 - DS22/031;Yes;Yes;No;No;417;No;Yes;No;Gas;No;2020;Yes;Yes;4746929;17;Yes;Connected;;;;;;;;;;;;;;;;;;;;;
9936537;Roeselare - w.e.s.t.;8800;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/roeselare/8800/9936537?searchId=6298cd78cd665;;4768655;Marcel Vastgoed;To be defined;After signing the deed;1;March 1 2023 - 12:00 AM;To be done up;2;Living area (residential, urban or rural);;159;37;Semi equipped;17;14;2;Yes;Yes;251;48;South West;Yes;1;1;Not specified;Not specified;Not specified;Not specified;Not specified;65826 kWh/year;No;Gas;Yes;190;Not specified;No;Non flood zone;Residential park;;No;Non flood zone;No;;Herman-Debrouxlaan 42, 9;At delivery;4;18;7;2;Yes;2;No;Yes;;1919;13;No;Yes;No;Walestraat;93;8;1;Yes;No;;1;No;No;1575 - DS22/031;Yes;Yes;No;No;417;No;Yes;No;Gas;Not specified;2020;Yes;Yes;4746929;17;Yes;Connected;;;;;;;;;;;;;;;;;;;;;
9937330;Bergbos De Heeren;9820;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/merelbeke/9820/9937330?searchId=6298cd78cd665;;4768655;Marcel Vastgoed;To be defined;After signing the deed;1;March 1 2023 - 12:00 AM;To be done up;2;Living area (residential, urban or rural);;159;37;Semi equipped;17;14;2;Yes;Yes;251;48;South West;Yes;Antoon Catriestraat  8a;;Not specified;4782768;Not specified;Not specified;Not specified;65826 kWh/year;No;Gas;Not specified;190;Not specified;No;Non flood zone;Residential park;;Yes;No;No;;Herman-Debrouxlaan 42, 9;At delivery;4;18;7;2;Yes;2;No;Yes;;1919;13;No;Yes;No;Walestraat;93;8;1;Yes;No;;1;No;No;1575 - DS22/031;Yes;Yes;No;No;417;No;Yes;No;Gas;Not specified;2020;Yes;Yes;4746929;17;Yes;Connected;;;;;;;;;;;;;;;;;;;;;
9942698;Penthouse;9100;https://www.immoweb.be/en/classified/penthouse/for-sale/sint-niklaas/9100/9942698?searchId=6298cd78cd665;;4768655;Marcel Vastgoed;No;;Kortrijksesteenweg, 390 bus 001;;1984;2;7;Good;1;37;122;17;45;1;Installed;3;1;48;South West;Yes;2;No;90;Yes;228;C;Not specified;Not specified;No;Not specified;No;190;Gas;Yes;No;No;Non flood zone;Living area (residential, urban or rural);;;No;7;At delivery;4;18;7;2;Yes;2;No;Yes;;1919;13;No;Yes;No;Walestraat;93;8;1;Yes;No;;1;No;No;1575 - DS22/031;Yes;Yes;No;No;417;No;Yes;No;Gas;Yes;2020;Yes;Yes;4746929;17;Yes;Connected;2;;;;;;;;;;;;;;;;;;;;
